time,region,equipment,gdp,investment,agriculture
2010Q2,zhejiang,101.7,111.7,104.2,117.8
2010Q1,zhejiang,101.2,115,102.2,111.5
2009Q4,zhejiang,97.4,108.9,98.8,105.6
2009Q3,zhejiang,95.6,107.7,95.5,101.1
2009Q2,zhejiang,94.2,106.3,94.2,97.8
2009Q1,zhejiang,97.8,103.4,98.2,98.2
2008Q4,zhejiang,100.6,110.1,103.9,102.2
2008Q3,zhejiang,101.9,110.6,112.1,114.4
2008Q2,zhejiang,101.6,111.4,112.3,118.1
2008Q1,zhejiang,100.8,111.8,109,115.9
2007Q4,zhejiang,100,114.5,106.9,115
2007Q3,zhejiang,99.8,114.7,104.2,116.6
2007Q2,zhejiang,100.6,114.7,103.3,108.7
2007Q1,zhejiang,101.6,114.6,103,104.9
2006Q4,zhejiang,102.6,113.6,102.8,104.7
2006Q3,zhejiang,102.6,113.9,102.1,102.3
2006Q2,zhejiang,101.2,114.1,101.1,101.5
2006Q1,zhejiang,100.3,114.4,100.2,104.9
2005Q4,zhejiang,100.1,112.4,100.3,106.8
2005Q3,zhejiang,100.3,112.1,100.4,104.9
2005Q2,zhejiang,100.5,112,100.3,104
2005Q1,zhejiang,100.4,112.2,100.4,108.6
